1091,01-01-2024,0001,5,7500
1092,01-01-2024,0002,4,2400
1093,01-01-2024,0006,3,21000
1094,01-01-2024,0009,5,45000
1095,01-01-2024,0003,4,22000
1096,01-01-2024,0009,20,180000
1097,01-01-2024,0005,4,16000
1098,01-01-2024,0004,8,48000
1099,02-01-2024,0007,30,300000
1100,02-01-2024,0007,2,20000
1101,02-01-2024,0010,23,299000
1102,03-01-2024,0004,1,6000
1103,03-01-2024,0001,2,3000
1104,03-01-2024,0003,3,16500
1105,03-01-2024,0005,14,56000
1106,03-01-2024,0009,7,63000
1107,04-01-2024,0010,17,221000
1108,04-01-2024,0001,22,33000
1109,04-01-2024,0002,62,37200
1110,04-01-2024,0005,20,80000
